Project,Package,Class,Method,Smell,Description,File
camel-language-server,com.github.cameltooling.lsp.internal.completion,PomCompletionTest,testQuarkusDebugProfile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\PomCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,PomCompletionTest,testCamelComponentDependency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\PomCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,VSCodeTasksJsonTest,testCompletionForTrait,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\VSCodeTasksJsonTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,VSCodeTasksJsonTest,testCompletionForTraitProperty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\VSCodeTasksJsonTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCamelComponentPropertyTest,testProvideCompletionForComponentNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCamelComponentPropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCamelComponentPropertyTest,testProvideCompletionForComponentNamesWithInsertAndReplace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCamelComponentPropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCamelComponentPropertyTest,testProvideCompletionForGroup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCamelComponentPropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCamelComponentPropertyTest,testProvideCompletionForGroupWithInsertAndReplaceWithPArtialProperty,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCamelComponentPropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCamelComponentPropertyTest,testProvideCompletionForGroupWithInsertAndReplace,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCamelComponentPropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCamelComponentPropertyTest,testProvideCompletionForComponentAttribute,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCamelComponentPropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCamelComponentPropertyTest,testProvideCompletionForComponentAttributeWithDashedNotation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCamelComponentPropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCamelComponentPropertyTest,testProvideCompletionForComponentSuffixWithInseertAndReplace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCamelComponentPropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineCompletionTest,testPropertyFileOptionIsDeprecated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineDependencyCompletionTest,testProvideCompletionForCamelComponentDependency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineDependencyCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineDependencyCompletionTest,testProvideCompletionForCamelComponentDependencyOnSecondLine,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineDependencyCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineDependencyCompletionTest,testProvideCompletionWithInsertAndReplaceForCamelComponentDependency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineDependencyCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineDependencyCompletionTest,testProvideCompletionWithInsertAndReplaceInMiddleOfValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineDependencyCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineDependencyCompletionTest,testProvideCompletionForMavenComponentDependency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineDependencyCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineDependencyCompletionTest,testProvideCompletionForJitpackComponentDependency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineDependencyCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelinePropertyTest,testProvideCompletionForComponentSuffix,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelinePropertyTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineTraitDefinitionNameTest,testProvideCompletionWithCorrectInsertWithTextAfter,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineTraitDefinitionNameTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineTraitPropertyNameTest,testProvideCompletionAfterTraitDefinitionDot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineTraitPropertyNameTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineTraitPropertyNameTest,testProvideCompletionWithPartialName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineTraitPropertyNameTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion.modeline,CamelKModelineTraitPropertyNameTest,testProvideCompletionWithInsertAndReplaceWithvalueAlreadyProvided,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\modeline\CamelKModelineTraitPropertyNameTest.java
camel-language-server,com.github.cameltooling.lsp.internal.definition,DefinitionProcessorTest,testRetrieveDefinitionSimple,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\definition\DefinitionProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.definition,DefinitionProcessorTest,testRetrieveNoDefinitionWhenEndpointContainsNoId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\definition\DefinitionProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.definition,DefinitionProcessorTest,testRetrieveNoDefinitionWhenEndpointContainsNotMatchingIds,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\definition\DefinitionProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.definition,DefinitionProcessorTest,testRetrieveNoDefinitionWhenOnAnotherPlace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\definition\DefinitionProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testNoValidationError,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testValidationError,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testValidationErrorWithNamespacePrefix,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testValidationSeveralErrors,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testValidationForNonFirstParameters,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testInvalidBoolean,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testInvalidInteger,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testMissingMethodNameForApiBasedComponent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testNoErrorOnNonCamelFile,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testNoErrorWithPropertyForWholeURI,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testValidationErrorForJavaFile,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testNoExceptionOnInvalidJavaFile,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testNoErrorWithProperty,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testUnknowPropertyOnNonLenientPropertiesComponent,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testSeveralUnknowPropertyOnNonLenientPropertiesComponent,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testSeveralErrorsWithPreciseSpecificrange,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testSeveralUnknowPropertyAndAnotherError,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testUnknowPropertyOnLenientPropertiesComponent,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelDiagnosticTest,testJavaInterface,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelKModelineDiagnosticTest,testDuplicatedTraitsInModeline,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelKModelineDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelKModelineDiagnosticTest,testDuplicatedTraitsInModelineWrittenOnSecondLIne,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelKModelineDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelPropertiesDiagnosticTest,testValidationNoError,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelPropertiesDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelPropertiesDiagnosticTest,testValidationSeveralErrors,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelPropertiesDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,CamelPropertiesDiagnosticTest,testInvalidBoolean,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\CamelPropertiesDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,ConnectedModeDiagnosticTest,testKnativeHintOnXml,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\ConnectedModeDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,ConnectedModeDiagnosticTest,testKnativeHintOnJava,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\ConnectedModeDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,ConnectedModeDiagnosticTest,testKubernetesHintOnXml,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\ConnectedModeDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.diagnostic,ConnectedModeDiagnosticTest,testKubernetesHintOnJava,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\diagnostic\ConnectedModeDiagnosticTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testEndpointsInXml,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testEmptyCamelContextReturnCamelContextDocumentSymbol,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,test2CamelContext,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testEmptyRoutes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testRoutesWithoutId,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testRoutesProvidedAsDocumentSymbolWithNamespaceprefix,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testSingleRoute,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testWithSpaceInPath,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testSeveralRoutes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testPartialRoute,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testInterfaceNotThrowingException,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.documentsymbol,DocumentSymbolProcessorTest,testInvalidJavaFileNotThrowingException,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\documentsymbol\DocumentSymbolProcessorTest.java
camel-language-server,com.github.cameltooling.lsp.internal.folding,FoldingRangeChoiceTest,testFoldingRangeWithoutEnd,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\folding\FoldingRangeChoiceTest.java
camel-language-server,com.github.cameltooling.lsp.internal.folding,FoldingRangeChoiceTest,testFoldingRangeWithEnd,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\folding\FoldingRangeChoiceTest.java
camel-language-server,com.github.cameltooling.lsp.internal.folding,FoldingRangeRouteTest,testFoldingRangeOnJavaFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\folding\FoldingRangeRouteTest.java
camel-language-server,com.github.cameltooling.lsp.internal.hover,CamelApiBasedComponentHoverTest,tesOnOption,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\hover\CamelApiBasedComponentHoverTest.java
camel-language-server,com.github.cameltooling.lsp.internal.hover,CamelApiBasedComponentHoverTest,tesOnOption,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.cameltooling.lsp.internal.CamelTextDocumentService.hover; com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\hover\CamelApiBasedComponentHoverTest.java
camel-language-server,com.github.cameltooling.lsp.internal.hover,CamelKModelineComponentPropertyHoverTest,testProvideDocumentationOnHoverOfComponentName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\hover\CamelKModelineComponentPropertyHoverTest.java
camel-language-server,com.github.cameltooling.lsp.internal.hover,CamelKModelineComponentPropertyHoverTest,testProvideDocumentationOnHoverOfComponentAttribute,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\hover\CamelKModelineComponentPropertyHoverTest.java
camel-language-server,com.github.cameltooling.lsp.internal.hover,CamelKModelineComponentPropertyHoverTest,testNoErrorWithPartialNoComponentNameSpecified,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\hover\CamelKModelineComponentPropertyHoverTest.java
camel-language-server,com.github.cameltooling.lsp.internal.hover,CamelKModelineComponentPropertyHoverTest,testNoErrorWithUnknownComponent,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\hover\CamelKModelineComponentPropertyHoverTest.java
