Project,Package,Class,Method,Smell,Description,Method start line no,File
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 2,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 3,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 4,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 5,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 6,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 7,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 8,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 9,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 10,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 12,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 13,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 14,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 15,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 10,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 15,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 12,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 15,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 13,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 15,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 14,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 15,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 15,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 15,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 16,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 14,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 16,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 17,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 18,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 19,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 20,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 21,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 11,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 22,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 23,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,data,Magic Number,The method contains a magic number: 24,43,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,testProvideCompletionForCamelBlueprintNamespace,Long Parameter List,The method has 7 parameters. ,83,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,testProvideCompletionForCamelBlueprintNamespace,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(line`characterCallingCompletion));" is 159.,83,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,testProvideCompletionForCamelBlueprintNamespace,Long Statement,The length of the statement "assertThat(completions.get().getLeft()).contains(createExpectedBeanCompletionItem(line`characterStartCompletion`line`characterEndCompletion));" is 142.,83,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,testProvideCompletionForCamelBlueprintNamespace,Long Statement,The length of the statement "Condition<CompletionItem> timer=new Condition<>(completionItem -> completionItem.getLabel().contains("bean")`"Found a bean component");" is 135.,83,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,createExpectedBeanCompletionItem,Long Identifier,The length of the identifier expectedTimerCompletioncompletionItem is 37.,106,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,createExpectedBeanCompletionItem,Long Statement,The length of the statement "expectedTimerCompletioncompletionItem.setTextEdit(Either.forLeft(new TextEdit(new Range(new Position(lineStart`characterStart)`new Position(lineEnd`characterEnd))`"bean:beanName")));" is 182.,106,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testDirectEndpointCompletion,Long Identifier,The length of the identifier positionInMiddleOfcomponentPart is 31.,37,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testDirectEndpointCompletion,Long Statement,The length of the statement "CamelLanguageServer camelLanguageServer=initializeLanguageServer(new FileInputStream("src/test/resources/workspace/direct-endpoint-test.xml")`".xml");" is 150.,37,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testDirectEndpointCompletion,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`positionInMiddleOfcomponentPart);" is 145.,37,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testDirectEndpointCompletion,Magic Number,The method contains a magic number: 9,37,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testDirectEndpointCompletion,Magic Number,The method contains a magic number: 42,37,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testDirectEndpointCompletion,Magic Number,The method contains a magic number: 2,37,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testSEDAEndpointCompletion,Long Identifier,The length of the identifier positionInMiddleOfcomponentPart is 31.,51,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testSEDAEndpointCompletion,Long Statement,The length of the statement "CamelLanguageServer camelLanguageServer=initializeLanguageServer(new FileInputStream("src/test/resources/workspace/direct-endpoint-test.xml")`".xml");" is 150.,51,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testSEDAEndpointCompletion,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`positionInMiddleOfcomponentPart);" is 145.,51,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testSEDAEndpointCompletion,Magic Number,The method contains a magic number: 33,51,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testSEDAEndpointCompletion,Magic Number,The method contains a magic number: 41,51,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest,testSEDAEndpointCompletion,Magic Number,The method contains a magic number: 2,51,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletTemplateIdCompletionForSource,Long Statement,The length of the statement "CompletionItem completionItem=completions.stream().filter(completion -> completion.getLabel().equals("aws-ddb-streams-source")).findAny().get();" is 144.,38,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletTemplateIdCompletionForSource,Long Statement,The length of the statement "assertThat(completions).hasSizeGreaterThan(10).contains(createAwsddbSourceCompletionItem()).doesNotContain(createAwsKinesisSinkCompletionItem());" is 145.,38,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletTemplateIdCompletionForSource,Magic Number,The method contains a magic number: 19,38,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletTemplateIdCompletionForSource,Magic Number,The method contains a magic number: 10,38,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletTemplateIdCompletionForSink,Long Statement,The length of the statement "CamelLanguageServer languageServer=initLanguageServer("<to uri=\"kamelet:\" xmlns=\"http://camel.apache.org/schema/blueprint\"></to>\n");" is 137.,53,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletTemplateIdCompletionForSink,Long Statement,The length of the statement "assertThat(completions).hasSizeGreaterThan(10).contains(createAwsKinesisSinkCompletionItem()).doesNotContain(createAwsddbSourceCompletionItem());" is 145.,53,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletTemplateIdCompletionForSink,Magic Number,The method contains a magic number: 19,53,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletTemplateIdCompletionForSink,Magic Number,The method contains a magic number: 10,53,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletPropertyCompletionForSource,Long Statement,The length of the statement "assertThat(completions).hasSizeGreaterThan(5).contains(createTablePropertyCompletionItem()).contains(createPropertyCompletionItemWithDefaultValue());" is 149.,65,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletCompletionTest,testKameletPropertyCompletionForSource,Magic Number,The method contains a magic number: 42,65,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\KameletCompletionTest.java
